Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","10u","C_0805_2012Metric",13.800000,22.300000,0.000000,top
"C2","4.7u","C_0603_1608Metric",20.450000,22.950000,-90.000000,top
"C3","100n","C_0402_1005Metric",23.700000,34.650000,180.000000,top
"C4","22u","C_0805_2012Metric",13.800000,20.000000,0.000000,top
"C5","0.3p","C_0402_1005Metric",36.137500,29.525000,-90.000000,top
"C6","100n","C_0402_1005Metric",20.425000,19.700000,90.000000,top
"C7","100n","C_0402_1005Metric",27.550000,23.100000,-90.000000,top
"C8","0.8p","C_0402_1005Metric",32.962500,29.520000,-90.000000,top
"C9","4.7u","C_0603_1608Metric",27.300000,33.900000,0.000000,top
"C10","100n","C_0402_1005Metric",31.200000,28.850000,-90.000000,top
"C11","C","C_0402_1005Metric",22.375000,23.625000,180.000000,top
"C12","4.7u","C_0603_1608Metric",33.900000,55.075000,-90.000000,top
"C13","100n","C_0402_1005Metric",21.170000,30.000000,180.000000,top
"C14","4.7u","C_0603_1608Metric",18.950000,55.080000,-90.000000,top
"C15","C","C_0402_1005Metric",24.700000,23.635000,0.000000,top
"C16","100n","C_0402_1005Metric",21.550000,25.730000,90.000000,top
"C17","100n","C_0402_1005Metric",32.500000,55.075000,-90.000000,top
"C18","100n","C_0402_1005Metric",31.200000,31.150000,-90.000000,top
"C19","100n","C_0402_1005Metric",20.450000,25.730000,90.000000,top
"C20","100n","C_0402_1005Metric",20.350000,55.080000,-90.000000,top
"C21","100n","C_0402_1005Metric",23.720000,33.650000,180.000000,top
"C22","4.7u","C_0603_1608Metric",22.850000,36.050000,180.000000,top
"C23","100n","C_0402_1005Metric",26.450000,16.550000,0.000000,top
"C24","100n","C_0402_1005Metric",28.450000,14.820000,-90.000000,top
"C25","10u","C_0805_2012Metric",20.100000,42.000000,0.000000,top
"C26","100n","C_0402_1005Metric",20.600000,8.560000,180.000000,top
"C27","100n","C_0402_1005Metric",32.295000,8.575000,0.000000,top
"D1","LED_RGBA","AAA3528LSEEZGKQBKS",26.430000,49.500000,180.000000,top
"FLT1","DLF162500LT-5028A1","DLF162500LT-5028A1",37.887500,30.000000,0.000000,top
"J1","Conn_Coaxial","U.FL_Hirose_U.FL-R-SMT-1_Vertical",45.575000,30.000000,0.000000,top
"J2","Conn_01x07_Socket","PinSocket_1x07_P2.54mm_Vertical",34.050000,45.000000,-90.000000,top
"J4","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",3.020000,30.890000,-90.000000,top
"L1","2.7n","L_0402_1005Metric",34.552500,30.000000,180.000000,top
"L2","10u","L_0805_2012Metric",26.250000,36.100000,180.000000,top
"L3","10n","L_0402_1005Metric",25.200000,34.100000,-90.000000,top
"R1","10k","R_0402_1005Metric",25.375000,20.250000,0.000000,top
"R2","750R","R_0402_1005Metric",38.775000,44.950000,90.000000,top
"R3","500R","R_0402_1005Metric",37.725000,44.950000,90.000000,top
"R4","500R","R_0402_1005Metric",36.650000,44.950000,90.000000,top
"R5","56k","R_0402_1005Metric",33.550000,42.600000,0.000000,top
"R6","10k","R_0402_1005Metric",25.350000,19.125000,180.000000,top
"R7","10k","R_0402_1005Metric",27.690000,19.125000,0.000000,top
"R8","56k","R_0402_1005Metric",28.450000,42.600000,180.000000,top
"R9","5.1k","R_0402_1005Metric",10.050000,33.450000,180.000000,top
"R10","5.1k","R_0402_1005Metric",10.050000,28.660000,180.000000,top
"SW1","SPST","2-1825910-7",17.800000,4.500000,180.000000,top
"SW2","SPST","2-1825910-7",35.050000,4.500000,180.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",7.300000,20.000000,180.000000,top
"U2","SCD41-D-R2","Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm",26.430000,56.825000,90.000000,top
"U3","STM32WB55CGUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",26.430000,28.750000,90.000000,top
"U4","DPS368","DPS368",26.430000,14.775000,-90.000000,top
"U5","USBLC6-2SC6","SOT-23-6",11.162500,31.050000,0.000000,top
"X1","32M","Crystal_SMD_2016-4Pin_2.0x1.6mm",31.350000,34.465000,-90.000000,top
"X2","32.768k","Crystal_SMD_2012-2Pin_2.0x1.2mm",23.550000,22.125000,0.000000,top
